c_id,c_sur_id,c_so_id,c_url
2907,1,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2908,2,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W85&site=bsi-live
2909,3,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W82&site=bsi-live
2910,4,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2911,5,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W8M&site=bsi-live
2912,6,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W8H&site=bsi-live
2913,7,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2914,8,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2915,9,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2916,10,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2917,11,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2918,12,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2919,13,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2920,14,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2921,15,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2922,16,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2923,17,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2924,18,28,http://academic.mintel.com/
2925,19,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W90&site=bsi-live
2927,19,11,
2928,21,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2929,21,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
7054,443068,71,http://clients1.ibisworld.com.ezproxy.bu.edu/reports/us/specializedreports/home.aspx
2931,24,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2932,26,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2933,27,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W8V&site=bsi-live
2934,28,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=1E4W&site=bsi-live
2935,28,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2937,31,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W92&site=bsi-live
2938,32,11,
2940,34,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W9I&site=bsi-live
2941,35,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W9D&site=bsi-live
2942,36,5,http://www.lexisnexis.com/us/lnacademic/api/version1/sf?shr=t&sfi=AC00NBGenSrch&csi=3746
2943,37,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2944,38,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2945,39,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2946,40,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W9K&site=bsi-live
2947,41,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W9S&site=bsi-live
2948,41,28,http://academic.mintel.com/
2949,43,1,http://search.ebscohost.com/login.aspx?direct=true&db=bth&jid=W9P&site=bsi-live
2950,44,11,
2951,45,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2952,46,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2953,47,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2954,48,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
2955,49,2,http://find.galegroup.com/gvrl/dispAdvSearch.do?prodId=GVRL&userGroupName=bost84371
