sur_id,title,sic,keyword,naics
1,Abrasive Products,3291,fabricated metals  grinding industrial equipment machinery grinding wheels ,332999
2,AC Drives,,electronics industrial equipment  electric power transmission distribution  equipment machines  accessories,221122
3,AC Drives: Global,,electronics industrial equipment  electric power transmission distribution  equipment machines  accessories machinery accessories,221122
4,Accident and Health Insurance,6321, Health Medical Insurance Carriers carrier Employee Benefit Funds Reinsurance  providers services healthcare health care,"524114, 525190, 524130"
5,Accountancy,,accounting tax services accountants designing preparing auditing records income assurance tax returns budgets developing processing payrolls bookkeeping billing financials finance,541211
6,Accountancy: Global,,accounting tax services accountants designing preparing auditing records income assurance tax returns budgets developing processing payrolls bookkeeping billing financials finance,541211
7,"Accounting, Auditing, and Bookkeeping Services",8721,accountants cpas payroll service accounting bookkeeping auditing data processing business support,"541211, 541214, 541219"
8,Adhesives and Sealants,2891,manufacturing  industrial household glues caulking compounds  linoleums tiles rubber cements  chemicals,325520
9,Adjustment and Collection Services,7322,collection agencies repossession services claims debt adjustments collectors ,"561440, 561491"
10,Administration of Educational Programs,9411,educational scholarships education central coordination planning supervision funds policies intergovernmental activities statistical reports data collection programs  federal state commissions  ,923110
11,Administration of General Economic Programs,9611,tourism  data analysis analyses develop development governments chambers of commerce  public administration federal municipal  local,926110
12,Administration of Housing Programs,9531,authorities governments  building standards  development urban subsidizes planning subsidized low income  public administration federal municipal local,925110
13,Administration of Public Health Programs,9431,governments mental cancer disease control maternity child statistics immunization planning administration coordination  services children communicable  federal  municipal local,923120
14,"Administration of Social, Human Resource, and Income Maintenance Programs",9441,elderly senior citizens child welfare children aid families medical assistance services governments agencies  family dependents blind disabled medical assistance human resources development  federal municipal public administration local,923130
15,Administration of Urban Planning and Community and Rural Development,9532,slum clearance development land renewal federal municipal public administration local  governments research  slum clearance community redevelopment renewal land clearance zoning boards commissions ,92512
16,"Administration of Veterans Affairs, Except Health and Insurance",9451,services training counseling governments federal assistance training counseling dependents heirs survivors  public administration,923140
17,Adult Entertainment,,pornographic porn,
18,Adult Obesity,,overweight over weight obese healthcare health care  larger sized manufacturers retailing retailers manufacturing,
19,Advertising,,ads direct-mail marketing agencies  services,
21,Advertising Agencies,7311,writing copy artwork graphics creative work periodicals newspapers radio television media contract contracted fee basis  agency,541810
441365,Photographic Equipment and Supplies,5043,wholesalers wholesaling  distribution cameras apparatus films darkroom retailing retail digital cameras  imaging hobby hobbies,421410
24,Advertising and Marketing,,advertising,
26,"Advertising, Not Elsewhere Classified",7319,agency aerial circular handbill distribution delivery materials samples transit coupon  display posters shopping news sky writing ,"481219, 541830 , 541850 , 541870, 541890"
27,Advertising: Global,,agencies display services  marketing,"541850, 541891"
28,Aerospace and Defense,,military airplanes aeronautics aerospace planes aircraft aviation defense civil equipment electronics space equipment,481211
31,Aerospace and Defense: Global,,military airplanes aeronautics aerospace planes aircraft aviation defense civil equipment electronics space equipment,481211
32,Aerospace/Defense,,defense aircraft military weapons missiles airplanes jetliners jets planes munitions ammunition security armor guns commercial fighters combat aeronautics airborne warfare aviation ,
33,Agribusiness,,farms agriculture farming crops dairy organics foods livestock grains corns milk meats poultry pork beef soybeans wheats ethanol agricultural,
34,Agricultural Products,,farms agriculture farming  cereals roots tubers sugar crops sugars sweeteners oilseeds fruit vegetables oil treenuts nuts beans pulses spices coffees teas cocoas,"424590, 493130"
35,Agricultural Products: Global,,farms agriculture farming  cereals roots tubers sugarcrops sugars sweeteners oilseeds fruit vegetables oil treenuts nuts beans pulses spices coffees teas cocoas,
36,Agriculture,,,
37,Air and Gas Compressors,3563,compressed air compressor compressors industrial equipment machinery manufacturing general spraying dusting  chemical stell mills blast furnaces energy extraction pipelines well drilling construction,333912
38,Air and Water Resource and Solid Waste Management,9511,government conservation resources pollution control regulation protection prevention flood drainage development consumption coordination research abatements environmental,924110
39,Air Courier Services,4513,couriers letters mail parcels packages cargo freight express priority delivery freight logistics,492110
40,Air Freight and Logistics: Global,,transportation mail   cargo,"481112, 481212, 483111, 484110, 484121, 484122, 484220, 488320, 488510, 488999"
41,Air Fresheners,,continuous electrical  pump aerosol household products,
43,Air Fresheners: Global,,continuous electrical  pump aerosol household products,
44,Air Transport,,transportation aircraft airlines airplanes jets carriers airways package delivery,
45,"Air Transportation, Nonscheduled",4522,ambulance  nonscheduled chartered freight  sightseeing airplane helicopter  charter  passenger air taxi ,"621910, 481212, 481211, 487990"
46,"Air Transportation, Scheduled",4512,airlines passenger domestic international travel carrier scheduled freight,"481111, 481112"
47,Aircraft,3721,transportation aviation aerospace air manufacturing  repairing rebuilding research development  assembling aeronautics commercial general military space missiles engines parts services,336411
48,Aircraft Engines and Engine Parts,3724,repair rebuild  manufacturing research development repairing rebuilding   aviation aerospace aeronautics airplanes planes aerospace planes aircrafts ,336412
49,"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",3728, manufacturing research development surface control cabin pressurization landing gear lighting galley equipment nuts bolts aviation aerospace aeronautics airplanes  planes aircrafts,"332912, 336413"
50,Airlines,,transportation passenger scheduled ticket sales passengers commercial booking facilities ticketing baggage handling in-flight services,
54,Airlines: Global,,transportation airplanes travel passenger air chartered scheduled flights     ,"481111, 481219, 488190"
442605,Travel and Tourism: New Zealand,,airlines hotels motels car rental vacations leisure bookings agencies company online internet web  personal  reservations agents  ,
57,Airport Services: Global,,passenger freight logistics transportation travel airports  cargo,"481111, 481219, 488190, 488119, 333319, 423850"
